Glottocode,n_coded,n_match,score,score_of_total,ID,Name,Family,Ergative_type
athp1241,22,19,0.8636363636363636,0.8636363636363636,athp1241,Athpare,Trans-Himalayan,Ergative
kala1399,22,19,0.8636363636363636,0.8636363636363636,kala1399,Kalaallisut,Eskimo-Aleut,Ergative
bugi1244,22,19,0.8636363636363636,0.8636363636363636,bugi1244,Bugis,Austronesian,Ergative
fran1266,22,19,0.8636363636363636,0.8636363636363636,fran1266,Francisco León Zoque,Mixe-Zoque,Ergative
limb1266,22,19,0.8636363636363636,0.8636363636363636,limb1266,Limbu,Trans-Himalayan,Ergative
arab1267,22,19,0.8636363636363636,0.8636363636363636,arab1267,Arabana,Pama-Nyungan,Ergative
isin1239,21,18,0.8571428571428571,0.8181818181818182,isin1239,Isinai,Austronesian,Ergative
ayiw1239,14,12,0.8571428571428571,0.5454545454545454,ayiw1239,Äiwoo,Austronesian,Ergative
guan1266,21,18,0.8571428571428571,0.8181818181818182,guan1266,Wobzi Khroskyabs,Trans-Himalayan,Ergative
hida1246,21,18,0.8571428571428571,0.8181818181818182,hida1246,Hidatsa,Siouan,Ergative
kaga1256,21,18,0.8571428571428571,0.8181818181818182,kaga1256,Kagayanen,Austronesian,Ergative
aleu1260,20,17,0.85,0.7727272727272727,aleu1260,Aleut,Eskimo-Aleut,Ergative
dara1250,20,17,0.85,0.7727272727272727,dara1250,Darai,Indo-European,Ergative
futu1245,20,17,0.85,0.7727272727272727,futu1245,Futuna-Aniwa,Austronesian,Ergative
east2447,13,11,0.8461538461538461,0.5,east2447,East Futunan,Austronesian,Ergative
panj1256,19,16,0.8421052631578947,0.7272727272727273,panj1256,Punjabi,Indo-European,Ergative
colu1241,19,16,0.8421052631578947,0.7272727272727273,colu1241,Nxaamxcin,Salishan,Ergative
hind1269,17,14,0.8235294117647058,0.6363636363636364,hind1269,Hindi,Indo-European,Ergative
mati1255,22,18,0.8181818181818182,0.8181818181818182,mati1255,Matis,Panoan,Ergative
aime1238,22,18,0.8181818181818182,0.8181818181818182,aime1238,Eibela,Trans-New Guinea,Ergative
mana1288,22,18,0.8181818181818182,0.8181818181818182,mana1288,Manange,Trans-Himalayan,Ergative
caml1239,22,18,0.8181818181818182,0.8181818181818182,caml1239,Camling,Trans-Himalayan,Ergative
cent2127,22,18,0.8181818181818182,0.8181818181818182,cent2127,Central Alaskan Yupik,Eskimo-Aleut,Ergative
yami1256,22,18,0.8181818181818182,0.8181818181818182,yami1256,Yaminawa,Panoan,Ergative
muru1266,16,13,0.8125,0.5909090909090909,muru1266,Muruwari,Pama-Nyungan,Ergative
kaba1278,16,13,0.8125,0.5909090909090909,kaba1278,Kabardian,Northwest Caucasian,Ergative
